num_docs,num_chunks,avg_tokens_per_chunk,p95_tokens_per_chunk,max_tokens_in_chunk,percent_over_512,avg_token_overlap,p95_token_overlap,distinct_pages,distinct_sections,timestamp
1,46,127.07,276,323,0.0,1.91,6,46,0,2025-10-15 09:02:22
1,46,127.07,276,323,0.0,1.91,6,46,0,2025-10-30 02:30:47
