num_docs,num_chunks,avg_tokens_per_chunk,p95_tokens_per_chunk,max_tokens_in_chunk,percent_over_512,avg_token_overlap,p95_token_overlap,distinct_pages,distinct_sections,timestamp
1,137,147.88,329,379,0.0,8.98,28,137,0,2025-10-15 09:01:56
1,137,147.88,329,379,0.0,8.98,28,137,0,2025-10-30 02:31:33
