num_docs,num_chunks,avg_tokens_per_chunk,p95_tokens_per_chunk,max_tokens_in_chunk,percent_over_512,avg_token_overlap,p95_token_overlap,distinct_pages,distinct_sections,timestamp
1,106,139.08,305,366,0.0,2.35,11,106,0,2025-10-15 09:01:11
1,106,139.08,305,366,0.0,2.35,11,106,0,2025-10-30 02:31:02
